name,sac_scale,surface,trail_visibility,bicycle,horse,wheelchair,dog,stroller
مسیر کوهنوردی درکه به پناهگاه پلنگچال,0.0,-1.0,1.0,2,2,0,1,0
7th Tochal to Peak,0.0,2.0,1.0,2,2,0,1,0
Old Trace,0.0,2.0,0.0,1,1,0,1,0
Falling Rock,2.0,-1.0,1.0,2,2,0,1,0
FS 1013A,0.0,2.0,1.0,1,1,0,1,0
West Ashley Bikeway,0.0,0.0,0.0,2,2,0,1,0
Swamp Rabbit Trail Green Line,0.0,0.0,1.0,2,2,0,1,0
Firetower Trail,0.0,2.0,1.0,2,2,0,1,0
Table Rock Trail,1.0,-1.0,1.0,2,2,0,1,0
Kings Mountain National Recreation Trail,1.0,2.0,0.0,2,2,0,1,0
Whitesnake Road,1.0,2.0,0.0,1,1,0,1,0
Embudo Trail (193),0.0,2.0,0.0,1,1,0,1,0
Pino Trail (140),1.0,2.0,0.0,1,1,0,1,0
Tram Tower 1 Trail,1.0,2.0,1.0,2,2,0,1,0
Cedro Peak Road,0.0,2.0,0.0,1,1,0,1,0
Cedro Peak Road,0.0,2.0,0.0,1,1,0,1,0
Meadow 2-Track (FR 12),0.0,2.0,0.0,1,1,0,1,0
Gascon Trail (239),1.0,2.0,1.0,1,1,0,1,0
Capulin Trail (158),2.0,2.0,5.0,1,1,0,1,0
Frijoles Canyon Trail (154),1.0,2.0,0.0,1,1,0,1,0
Agua Sarca Trail (228),1.0,2.0,1.0,1,1,0,1,0
Gallinas Trail (216),1.0,2.0,1.0,1,1,0,1,0
Encino Trail (181),1.0,2.0,2.0,1,1,0,1,0
CCC Loop Trail,0.0,0.0,0.0,2,2,0,1,0
Old Trestle Road,1.0,2.0,0.0,2,2,0,1,0
Pine Woods Trail,0.0,4.0,0.0,2,2,0,1,0
Pine Woods Trail,0.0,4.0,0.0,2,2,0,1,0
Frisco Campground beach trail west,0.0,2.0,0.0,2,2,0,1,0
Graybeard Trail,1.0,2.0,0.0,2,2,0,1,0
Outcroppings Trail,1.0,2.0,1.0,2,2,0,1,0
Bright Angel Trail,1.0,2.0,1.0,1,1,0,1,0
CC Wrangler Trail / Ozark Trail - North Fork Section,0.0,2.0,0.0,1,1,0,1,0
Backbone Trail,0.0,2.0,0.0,1,1,0,1,0
Old Johns River Road,1.0,2.0,1.0,2,2,0,1,0
Mountains-to-Sea Trail,1.0,2.0,2.0,2,2,0,1,0
Mountains-to-Sea Trail,2.0,2.0,0.0,2,2,0,1,0
Deep Gap Trail,2.0,2.0,1.0,2,2,0,1,0
High Point Trail,0.0,2.0,0.0,2,2,0,1,0
Rhododendron Trail,0.0,-1.0,0.0,2,2,0,1,0
Levada do Norte,0.0,-1.0,1.0,2,2,0,1,0
Vereda das Furnas,0.0,0.0,1.0,2,2,0,1,0
Vereda da Levada do Facho,0.0,-1.0,1.0,2,2,0,1,0
Mormon Trail,1.0,2.0,0.0,1,1,0,1,0
Likya Yolu 4.02,1.0,2.0,1.0,2,2,0,1,0
University Footpath,0.0,-1.0,1.0,2,2,0,1,0
Levada do Caniçal,0.0,-1.0,1.0,2,2,0,1,0
Vereda da Boca do Risco,0.0,-1.0,1.0,2,2,0,1,0
Vereda da Boca do Risco,0.0,-1.0,1.0,2,2,0,1,0
Olympus,1.0,-1.0,1.0,2,2,0,1,0
Olympus,1.0,-1.0,1.0,2,2,0,1,0
Camino de los Puertos,0.0,-1.0,1.0,2,2,0,1,0
PR 17,1.0,-1.0,1.0,2,2,0,1,0
Appalachian Trail,1.0,2.0,0.0,2,2,0,1,0
Appalachian Trail,1.0,2.0,0.0,2,2,0,1,0
Appalachian Trail,1.0,2.0,0.0,2,2,0,1,0
Appalachian Trail,1.0,2.0,0.0,2,2,0,1,0
Appalachian Trail,1.0,2.0,0.0,2,2,0,1,0
Siler Bald Vista Trail,1.0,2.0,0.0,2,2,0,1,0
Trail 3,1.0,2.0,1.0,2,2,0,1,0
Trail 3A,1.0,2.0,1.0,2,2,0,1,0
Likya Yolu 12.11,0.0,2.0,1.0,2,2,0,1,0
Kot Ban Trail,1.0,-1.0,1.0,2,2,0,1,0
Appalachian Trail,1.0,2.0,0.0,2,2,0,1,0
Appalachian Trail,1.0,2.0,0.0,2,2,0,1,0
Appalachian Trail,1.0,2.0,0.0,2,2,0,1,0
Appalachian Trail,1.0,2.0,0.0,2,2,0,1,0
Appalachian Trail,1.0,2.0,0.0,2,2,0,1,0
Likya Yolu 5.03,1.0,2.0,1.0,2,2,0,1,0
Likya Yolu 10.02,0.0,2.0,1.0,2,2,0,1,0
PR12,1.0,-1.0,1.0,2,2,0,1,0
Caminho Real da Encumeada (PR12),1.0,-1.0,1.0,2,2,0,1,0
Caminho Real da Encumeada (PR 12),1.0,-1.0,1.0,2,2,0,1,0
Caminho Real da Encumeada (PR 12),1.0,-1.0,1.0,2,2,0,1,0
Levada Nova,0.0,-1.0,1.0,2,2,0,1,0
Vereda da Boca da Cal,0.0,-1.0,1.0,2,2,0,1,0
Calle Las Margaritas,0.0,0.0,1.0,1,1,0,1,0
Camino de Montemayor,1.0,2.0,1.0,2,2,0,1,0
Sendero del Río Guadiaro,0.0,2.0,1.0,2,2,0,1,0
Sendero del Río Guadiaro,0.0,2.0,1.0,2,2,0,1,0
한남금북정맥,0.0,-1.0,1.0,2,2,0,1,0
Paseo Pinsapo,1.0,-1.0,1.0,2,2,0,1,0
Levada do Norte,0.0,-1.0,1.0,2,2,0,1,0
奥武蔵自然遊歩道,0.0,-1.0,1.0,2,2,0,1,0
奥武蔵自然遊歩道,0.0,-1.0,0.0,2,2,0,1,0
奥武蔵自然遊歩道,0.0,-1.0,1.0,2,2,0,1,0
Caminho Real N.°23,0.0,0.0,1.0,2,2,0,1,0
Walk-Up Trail,0.0,3.0,1.0,2,2,0,1,0
Cherokee Trail,0.0,-1.0,1.0,2,2,0,1,0
DeSoto Falls Trail,0.0,-1.0,1.0,2,2,0,1,0
Bear Hair Gap Trail,1.0,-1.0,1.0,2,2,0,1,0
Outlook Trail,1.0,-1.0,1.0,2,2,0,1,0
Tallulah Gorge Trail,1.0,-1.0,1.0,2,2,0,1,0
Caminho Real da Encumeada (PR 12),1.0,-1.0,1.0,2,2,0,1,0
PR17,0.0,-1.0,1.0,2,2,0,1,0
PR17,1.0,-1.0,1.0,2,2,0,1,0
PR17,1.0,-1.0,1.0,2,2,0,1,0
PR17,1.0,-1.0,1.0,2,2,0,1,0
Levada do Risco,0.0,2.0,1.0,2,2,0,1,0
PR17,1.0,-1.0,1.0,2,2,0,1,0
PR17,1.0,-1.0,1.0,2,2,0,1,0
奥武蔵自然遊歩道,0.0,-1.0,1.0,2,2,0,1,0
奥武蔵自然遊歩道,0.0,-1.0,1.0,2,2,0,1,0
奥武蔵自然遊歩道,0.0,-1.0,1.0,2,2,0,1,0
奥武蔵自然遊歩道,0.0,-1.0,0.0,2,2,0,1,0
Benton MacKaye Trail,0.0,2.0,1.0,2,2,0,1,0
Jacks Knob,1.0,-1.0,0.0,2,2,0,1,0
Duck Pond Trail,0.0,-1.0,1.0,2,2,0,1,0
Duck Pond Trail,0.0,-1.0,1.0,2,2,0,1,0
Duck Pond Trail,0.0,-1.0,1.0,2,2,0,1,0
Talala Trail,0.0,-1.0,1.0,2,2,0,1,0
Talala Trail,0.0,-1.0,1.0,2,2,0,1,0
Talala Trail,0.0,-1.0,1.0,2,2,0,1,0
DOBRA Trail,0.0,2.0,1.0,2,2,0,1,0
Talala Trail,0.0,-1.0,1.0,2,2,0,1,0
Okura Ridge,1.0,-1.0,0.0,2,2,0,1,0
West Rim Loop Trail,1.0,1.0,0.0,2,2,0,1,0
Cherokee Falls,0.0,2.0,1.0,2,2,0,1,0
Sitton's Gulch Trail,0.0,2.0,1.0,2,2,0,1,0
Calzada Dehesa Boyal,1.0,-1.0,1.0,2,2,0,1,0
Levada do Norte,0.0,-1.0,1.0,2,2,0,1,0
SL3,1.0,-1.0,1.0,2,2,0,1,0
Chimaera Path Likya Yolu 11.01,0.0,2.0,0.0,2,2,0,1,0
Sendero Colada de La Costa,2.0,-1.0,1.0,2,2,0,1,0
Atalante Trail,1.0,2.0,1.0,2,2,0,1,0
Aphrodite trail,1.0,2.0,1.0,2,2,0,1,0
Border Trail,0.0,2.0,0.0,2,2,0,1,0
Order of the Arrow Trail,0.0,-1.0,0.0,2,2,0,1,0
Lakeside Trail South,0.0,-1.0,1.0,2,2,0,1,0
Lakeside Trail North,0.0,-1.0,1.0,2,2,0,1,0
Lakeside Trail North,0.0,0.0,1.0,2,2,0,1,0
Nature Trail,0.0,-1.0,1.0,2,2,0,1,0
Likya Yolu 11.01,0.0,2.0,1.0,2,2,0,1,0
Siphon Draw Trail,3.0,-1.0,1.0,2,2,0,1,0
Ponta de São Lourenco,0.0,2.0,1.0,2,2,0,1,0
火口見学道,0.0,0.0,1.0,2,2,0,1,0
Likya Yolu 12.01,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 12.01,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 12.01,1.0,3.0,1.0,2,2,0,1,0
Likya Yolu 12.12,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 13.01,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 10.01,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu,0.0,1.0,1.0,2,2,0,1,0
Likya Yolu 10.01,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 11.03,1.0,-1.0,1.0,2,2,0,1,0
